"REF_DATE","GEO","DGUID","National Occupational Classification","Job vacancy characteristics","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-10","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Proportion of job vacancies","Percentage","242","units","0","v105068360","7.322.1.2","100.0","","","","1"
"2022-01","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Proportion of job vacancies","Percentage","242","units","0","v105068360","7.322.1.2","100.0","","","","1"
"2022-04","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Proportion of job vacancies","Percentage","242","units","0","v105068360","7.322.1.2","100.0","","","","1"
"2022-07","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Proportion of job vacancies","Percentage","242","units","0","v105068360","7.322.1.2","100.0","","","","1"
"2022-10","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Proportion of job vacancies","Percentage","242","units","0","v105068360","7.322.1.2","100.0","","","","1"
"2023-01","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Proportion of job vacancies","Percentage","242","units","0","v105068360","7.322.1.2","100.0","","","","1"
"2023-04","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Proportion of job vacancies","Percentage","242","units","0","v105068360","7.322.1.2","100.0","","","","1"
"2023-07","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Proportion of job vacancies","Percentage","242","units","0","v105068360","7.322.1.2","100.0","","","","1"
"2020-10","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Average offered hourly wage","Dollars","81","units","0","v105068361","7.322.1.5","53.25","C","","","2"
"2021-01","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Average offered hourly wage","Dollars","81","units","0","v105068361","7.322.1.5","48.75","A","","","2"
"2021-04","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Average offered hourly wage","Dollars","81","units","0","v105068361","7.322.1.5","46.30","A","","","2"
"2021-07","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Average offered hourly wage","Dollars","81","units","0","v105068361","7.322.1.5","49.65","A","","","2"
"2021-10","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Average offered hourly wage","Dollars","81","units","0","v105068361","7.322.1.5","49.45","B","","","2"
"2022-01","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Average offered hourly wage","Dollars","81","units","0","v105068361","7.322.1.5","45.10","A","","","2"
"2022-04","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Average offered hourly wage","Dollars","81","units","0","v105068361","7.322.1.5","49.50","A","","","2"
"2022-07","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Average offered hourly wage","Dollars","81","units","0","v105068361","7.322.1.5","46.90","A","","","2"
"2022-10","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Average offered hourly wage","Dollars","81","units","0","v105068361","7.322.1.5","48.75","A","","","2"
"2023-01","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Average offered hourly wage","Dollars","81","units","0","v105068361","7.322.1.5","50.20","A","","","2"
"2023-04","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Average offered hourly wage","Dollars","81","units","0","v105068361","7.322.1.5","42.60","B","","","2"
"2023-07","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Average offered hourly wage","Dollars","81","units","0","v105068361","7.322.1.5","42.40","A","","","2"
"2020-10","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Job vacancies","Number","223","units","0","v105068362","7.322.2.1","1740","E","","","0"
"2021-01","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Job vacancies","Number","223","units","0","v105068362","7.322.2.1","1710","C","","","0"
"2021-04","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Job vacancies","Number","223","units","0","v105068362","7.322.2.1","2315","C","","","0"
"2021-07","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Job vacancies","Number","223","units","0","v105068362","7.322.2.1","2795","B","","","0"
"2021-10","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Job vacancies","Number","223","units","0","v105068362","7.322.2.1","4810","D","","","0"
"2022-01","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Job vacancies","Number","223","units","0","v105068362","7.322.2.1","3605","B","","","0"
"2022-04","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Job vacancies","Number","223","units","0","v105068362","7.322.2.1","4315","B","","","0"
"2022-07","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Job vacancies","Number","223","units","0","v105068362","7.322.2.1","3700","C","","","0"
"2022-10","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Job vacancies","Number","223","units","0","v105068362","7.322.2.1","3385","C","","","0"
"2023-01","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Job vacancies","Number","223","units","0","v105068362","7.322.2.1","2320","C","","","0"
"2023-04","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Job vacancies","Number","223","units","0","v105068362","7.322.2.1","2595","D","","","0"
"2023-07","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Job vacancies","Number","223","units","0","v105068362","7.322.2.1","1665","C","","","0"
"2020-10","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Proportion of job vacancies","Percentage","242","units","0","v105068363","7.322.2.2","97.7","A","","","1"
"2021-01","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Proportion of job vacancies","Percentage","242","units","0","v105068363","7.322.2.2","99.9","A","","","1"
"2021-04","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Proportion of job vacancies","Percentage","242","units","0","v105068363","7.322.2.2","99.9","A","","","1"
"2021-07","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Proportion of job vacancies","Percentage","242","units","0","v105068363","7.322.2.2","100.0","A","","","1"
"2021-10","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Proportion of job vacancies","Percentage","242","units","0","v105068363","7.322.2.2","99.0","A","","","1"
"2022-01","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Proportion of job vacancies","Percentage","242","units","0","v105068363","7.322.2.2","100.0","A","","","1"
"2022-04","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Proportion of job vacancies","Percentage","242","units","0","v105068363","7.322.2.2","100.0","A","","","1"
"2022-07","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Proportion of job vacancies","Percentage","242","units","0","v105068363","7.322.2.2","100.0","A","","","1"
"2022-10","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Proportion of job vacancies","Percentage","242","units","0","v105068363","7.322.2.2","100.0","A","","","1"
"2023-01","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Proportion of job vacancies","Percentage","242","units","0","v105068363","7.322.2.2","99.5","A","","","1"
"2023-04","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Proportion of job vacancies","Percentage","242","units","0","v105068363","7.322.2.2","99.7","A","","","1"
"2023-07","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Proportion of job vacancies","Percentage","242","units","0","v105068363","7.322.2.2","99.9","A","","","1"
"2020-10","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Average offered hourly wage","Dollars","81","units","0","v105068364","7.322.2.5","54.05","C","","","2"
"2021-01","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Average offered hourly wage","Dollars","81","units","0","v105068364","7.322.2.5","48.80","A","","","2"
"2021-04","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Average offered hourly wage","Dollars","81","units","0","v105068364","7.322.2.5","46.30","A","","","2"
"2021-07","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Average offered hourly wage","Dollars","81","units","0","v105068364","7.322.2.5","49.65","A","","","2"
"2021-10","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Average offered hourly wage","Dollars","81","units","0","v105068364","7.322.2.5","49.75","B","","","2"
"2022-01","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Average offered hourly wage","Dollars","81","units","0","v105068364","7.322.2.5","45.10","A","","","2"
"2022-04","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Average offered hourly wage","Dollars","81","units","0","v105068364","7.322.2.5","49.50","A","","","2"
"2022-07","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Average offered hourly wage","Dollars","81","units","0","v105068364","7.322.2.5","46.90","A","","","2"
"2022-10","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Average offered hourly wage","Dollars","81","units","0","v105068364","7.322.2.5","48.75","A","","","2"
"2023-01","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Average offered hourly wage","Dollars","81","units","0","v105068364","7.322.2.5","50.30","A","","","2"
"2023-04","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Average offered hourly wage","Dollars","81","units","0","v105068364","7.322.2.5","42.60","B","","","2"
"2023-07","Ontario","2016A000235","Software engineers and designers [2173]","Full-time","Average offered hourly wage","Dollars","81","units","0","v105068364","7.322.2.5","42.40","A","","","2"
"2020-10","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Job vacancies","Number","223","units","0","v105068365","7.322.3.1","","F","","","0"
"2021-01","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Job vacancies","Number","223","units","0","v105068365","7.322.3.1","0","E","","","0"
"2021-04","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Job vacancies","Number","223","units","0","v105068365","7.322.3.1","","F","","","0"
"2021-07","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Job vacancies","Number","223","units","0","v105068365","7.322.3.1","0","E","","","0"
"2021-10","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Job vacancies","Number","223","units","0","v105068365","7.322.3.1","","F","","","0"
"2022-01","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Job vacancies","Number","223","units","0","v105068365","7.322.3.1","0","E","","","0"
"2022-04","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Job vacancies","Number","223","units","0","v105068365","7.322.3.1","0","E","","","0"
"2022-07","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Job vacancies","Number","223","units","0","v105068365","7.322.3.1","","F","","","0"
"2022-10","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Job vacancies","Number","223","units","0","v105068365","7.322.3.1","0","D","","","0"
"2023-01","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Job vacancies","Number","223","units","0","v105068365","7.322.3.1","","F","","","0"
"2023-04","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Job vacancies","Number","223","units","0","v105068365","7.322.3.1","","F","","","0"
"2023-07","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Job vacancies","Number","223","units","0","v105068365","7.322.3.1","","F","","","0"
"2020-10","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Proportion of job vacancies","Percentage","242","units","0","v105068366","7.322.3.2","","F","","","1"
"2021-01","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Proportion of job vacancies","Percentage","242","units","0","v105068366","7.322.3.2","0.1","E","","","1"
"2021-04","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Proportion of job vacancies","Percentage","242","units","0","v105068366","7.322.3.2","","F","","","1"
"2021-07","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Proportion of job vacancies","Percentage","242","units","0","v105068366","7.322.3.2","0.0","E","","","1"
"2021-10","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Proportion of job vacancies","Percentage","242","units","0","v105068366","7.322.3.2","","F","","","1"
"2022-01","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Proportion of job vacancies","Percentage","242","units","0","v105068366","7.322.3.2","0.0","E","","","1"
"2022-04","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Proportion of job vacancies","Percentage","242","units","0","v105068366","7.322.3.2","0.0","E","","","1"
"2022-07","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Proportion of job vacancies","Percentage","242","units","0","v105068366","7.322.3.2","","F","","","1"
"2022-10","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Proportion of job vacancies","Percentage","242","units","0","v105068366","7.322.3.2","0.0","E","","","1"
"2023-01","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Proportion of job vacancies","Percentage","242","units","0","v105068366","7.322.3.2","","F","","","1"
"2023-04","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Proportion of job vacancies","Percentage","242","units","0","v105068366","7.322.3.2","","F","","","1"
"2023-07","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Proportion of job vacancies","Percentage","242","units","0","v105068366","7.322.3.2","","F","","","1"
"2020-10","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Average offered hourly wage","Dollars","81","units","0","v105068367","7.322.3.5","","F","","","2"
"2021-01","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Average offered hourly wage","Dollars","81","units","0","v105068367","7.322.3.5","32.60","D","","","2"
"2021-04","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Average offered hourly wage","Dollars","81","units","0","v105068367","7.322.3.5","31.05","C","","","2"
"2021-07","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Average offered hourly wage","Dollars","81","units","0","v105068367","7.322.3.5","67.00","A","","","2"
"2021-10","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Average offered hourly wage","Dollars","81","units","0","v105068367","7.322.3.5","","F","","","2"
"2022-01","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Average offered hourly wage","Dollars","81","units","0","v105068367","7.322.3.5","29.20","C","","","2"
"2022-04","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Average offered hourly wage","Dollars","81","units","0","v105068367","7.322.3.5","30.05","B","","","2"
"2022-07","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Average offered hourly wage","Dollars","81","units","0","v105068367","7.322.3.5","56.25","A","","","2"
"2022-10","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Average offered hourly wage","Dollars","81","units","0","v105068367","7.322.3.5","49.25","B","","","2"
"2023-01","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Average offered hourly wage","Dollars","81","units","0","v105068367","7.322.3.5","28.55","D","","","2"
"2023-04","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Average offered hourly wage","Dollars","81","units","0","v105068367","7.322.3.5","42.40","C","","","2"
"2023-07","Ontario","2016A000235","Software engineers and designers [2173]","Part-time","Average offered hourly wage","Dollars","81","units","0","v105068367","7.322.3.5","31.35","D","","","2"
"2020-10","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Job vacancies","Number","223","units","0","v105068368","7.322.4.1","1780","E","","","0"
"2021-01","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Job vacancies","Number","223","units","0","v105068368","7.322.4.1","1715","C","","","0"
"2021-04","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Job vacancies","Number","223","units","0","v105068368","7.322.4.1","2315","C","","","0"
"2021-07","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Job vacancies","Number","223","units","0","v105068368","7.322.4.1","2795","B","","","0"
"2021-10","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Job vacancies","Number","223","units","0","v105068368","7.322.4.1","4860","D","","","0"
"2022-01","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Job vacancies","Number","223","units","0","v105068368","7.322.4.1","3605","B","","","0"
"2022-04","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Job vacancies","Number","223","units","0","v105068368","7.322.4.1","4315","B","","","0"
"2022-07","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Job vacancies","Number","223","units","0","v105068368","7.322.4.1","3700","C","","","0"
"2022-10","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Job vacancies","Number","223","units","0","v105068368","7.322.4.1","3385","C","","","0"
"2023-01","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Job vacancies","Number","223","units","0","v105068368","7.322.4.1","2335","C","","","0"
"2023-04","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Job vacancies","Number","223","units","0","v105068368","7.322.4.1","2600","D","","","0"
"2023-07","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Job vacancies","Number","223","units","0","v105068368","7.322.4.1","1665","C","","","0"
"2020-10","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Proportion of job vacancies","Percentage","242","units","0","v105068369","7.322.4.2","100.0","","","","1"
"2021-01","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Proportion of job vacancies","Percentage","242","units","0","v105068369","7.322.4.2","100.0","","","","1"
"2021-04","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Proportion of job vacancies","Percentage","242","units","0","v105068369","7.322.4.2","100.0","","","","1"
"2021-07","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Proportion of job vacancies","Percentage","242","units","0","v105068369","7.322.4.2","100.0","","","","1"
"2021-10","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Proportion of job vacancies","Percentage","242","units","0","v105068369","7.322.4.2","100.0","","","","1"
"2022-01","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Proportion of job vacancies","Percentage","242","units","0","v105068369","7.322.4.2","100.0","","","","1"
"2022-04","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Proportion of job vacancies","Percentage","242","units","0","v105068369","7.322.4.2","100.0","","","","1"
"2022-07","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Proportion of job vacancies","Percentage","242","units","0","v105068369","7.322.4.2","100.0","","","","1"
"2022-10","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Proportion of job vacancies","Percentage","242","units","0","v105068369","7.322.4.2","100.0","","","","1"
"2023-01","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Proportion of job vacancies","Percentage","242","units","0","v105068369","7.322.4.2","100.0","","","","1"
"2023-04","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Proportion of job vacancies","Percentage","242","units","0","v105068369","7.322.4.2","100.0","","","","1"
"2023-07","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Proportion of job vacancies","Percentage","242","units","0","v105068369","7.322.4.2","100.0","","","","1"
"2020-10","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Average offered hourly wage","Dollars","81","units","0","v105068370","7.322.4.5","53.25","C","","","2"
"2021-01","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Average offered hourly wage","Dollars","81","units","0","v105068370","7.322.4.5","48.75","A","","","2"
"2021-04","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Average offered hourly wage","Dollars","81","units","0","v105068370","7.322.4.5","46.30","A","","","2"
"2021-07","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Average offered hourly wage","Dollars","81","units","0","v105068370","7.322.4.5","49.65","A","","","2"
"2021-10","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Average offered hourly wage","Dollars","81","units","0","v105068370","7.322.4.5","49.45","B","","","2"
"2022-01","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Average offered hourly wage","Dollars","81","units","0","v105068370","7.322.4.5","45.10","A","","","2"
"2022-04","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Average offered hourly wage","Dollars","81","units","0","v105068370","7.322.4.5","49.50","A","","","2"
"2022-07","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Average offered hourly wage","Dollars","81","units","0","v105068370","7.322.4.5","46.90","A","","","2"
"2022-10","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Average offered hourly wage","Dollars","81","units","0","v105068370","7.322.4.5","48.75","A","","","2"
"2023-01","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Average offered hourly wage","Dollars","81","units","0","v105068370","7.322.4.5","50.20","A","","","2"
"2023-04","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Average offered hourly wage","Dollars","81","units","0","v105068370","7.322.4.5","42.60","B","","","2"
"2023-07","Ontario","2016A000235","Software engineers and designers [2173]","Minimum level of education required, all levels","Average offered hourly wage","Dollars","81","units","0","v105068370","7.322.4.5","42.40","A","","","2"
"2020-10","Ontario","2016A000235","Software engineers and designers [2173]","No minimum level of education required","Job vacancies","Number","223","units","0","v105068371","7.322.5.1","0","","","","0"
"2021-01","Ontario","2016A000235","Software engineers and designers [2173]","No minimum level of education required","Job vacancies","Number","223","units","0","v105068371","7.322.5.1","","F","","","0"
"2021-04","Ontario","2016A000235","Software engineers and designers [2173]","No minimum level of education required","Job vacancies","Number","223","units","0","v105068371","7.322.5.1","50","E","","","0"
"2021-07","Ontario","2016A000235","Software engineers and designers [2173]","No minimum level of education required","Job vacancies","Number","223","units","0","v105068371","7.322.5.1","5","D","","","0"
"2021-10","Ontario","2016A000235","Software engineers and designers [2173]","No minimum level of education required","Job vacancies","Number","223","units","0","v105068371","7.322.5.1","40","E","","","0"
"2022-01","Ontario","2016A000235","Software engineers and designers [2173]","No minimum level of education required","Job vacancies","Number","223","units","0","v105068371","7.322.5.1","","F","","","0"
"2022-04","Ontario","2016A000235","Software engineers and designers [2173]","No minimum level of education required","Job vacancies","Number","223","units","0","v105068371","7.322.5.1","225","E","","","0"
"2022-07","Ontario","2016A000235","Software engineers and designers [2173]","No minimum level of education required","Job vacancies","Number","223","units","0","v105068371","7.322.5.1","","F","","","0"
"2022-10","Ontario","2016A000235","Software engineers and designers [2173]","No minimum level of education required","Job vacancies","Number","223","units","0","v105068371","7.322.5.1","","F","","","0"
"2023-01","Ontario","2016A000235","Software engineers and designers [2173]","No minimum level of education required","Job vacancies","Number","223","units","0","v105068371","7.322.5.1","","F","","","0"
"2023-04","Ontario","2016A000235","Software engineers and designers [2173]","No minimum level of education required","Job vacancies","Number","223","units","0","v105068371","7.322.5.1","20","E","","","0"
"2023-07","Ontario","2016A000235","Software engineers and designers [2173]","No minimum level of education required","Job vacancies","Number","223","units","0","v105068371","7.322.5.1","","F","","","0"
"2020-10","Ontario","2016A000235","Software engineers and designers [2173]","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v105068372","7.322.5.2","0.0","","","","1"
"2021-01","Ontario","2016A000235","Software engineers and designers [2173]","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v105068372","7.322.5.2","","F","","","1"
"2021-04","Ontario","2016A000235","Software engineers and designers [2173]","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v105068372","7.322.5.2","2.1","E","","","1"
"2021-07","Ontario","2016A000235","Software engineers and designers [2173]","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v105068372","7.322.5.2","0.1","E","","","1"
"2021-10","Ontario","2016A000235","Software engineers and designers [2173]","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v105068372","7.322.5.2","","F","","","1"
"2022-01","Ontario","2016A000235","Software engineers and designers [2173]","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v105068372","7.322.5.2","","F","","","1"
"2022-04","Ontario","2016A000235","Software engineers and designers [2173]","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v105068372","7.322.5.2","5.2","E","","","1"
"2022-07","Ontario","2016A000235","Software engineers and designers [2173]","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v105068372","7.322.5.2","","F","","","1"
"2022-10","Ontario","2016A000235","Software engineers and designers [2173]","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v105068372","7.322.5.2","","F","","","1"
"2023-01","Ontario","2016A000235","Software engineers and designers [2173]","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v105068372","7.322.5.2","","F","","","1"
"2023-04","Ontario","2016A000235","Software engineers and designers [2173]","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v105068372","7.322.5.2","","F","","","1"
"2023-07","Ontario","2016A000235","Software engineers and designers [2173]","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v105068372","7.322.5.2","","F","","","1"
"2020-10","Ontario","2016A000235","Software engineers and designers [2173]","No minimum level of education required","Average offered hourly wage","Dollars","81","units","0","v105068373","7.322.5.5","","..","","","2"
"2021-01","Ontario","2016A000235","Software engineers and designers [2173]","No minimum level of education required","Average offered hourly wage","Dollars","81","units","0","v105068373","7.322.5.5","59.35","C","","","2"
